Lat,Long
10.7155846,36.9596064
11.07101233,39.29863089
10.43176696,38.9914504
12.3056725,38.27599363
10.1167,35.8
12.06864797,35.93870654
11.99070325,37.66268756
10.99914497,36.68073357
10.99117378,36.71357013
10.96916376,36.76829773
11.26184193,39.46273835
11.144,39.626083
11.18955,40.0198
11.2823053,39.11141489
11.12164409,39.41397724
12.48743311,36.17546291
10.8656917,39.85881863
9.889467456,39.68485127
10.24115179,39.17536901
10.24543482,39.18107972
11.93978545,39.63801825
10.96482571,38.80874745
13.1093449,38.02960833
11.46608019,37.79818541
12.93802371,37.72075429
13.05223784,37.56275808
11.99398774,39.41979788
10.30931591,39.87288805
13.39003207,38.00596243
12.96705314,37.67839988
12.75923696,37.7288742
11.18886386,39.3470549
12.61371732,39.08746915
12.20093129,39.43814352
11.81525462,38.63137356
11.27473583,37.13284754
12.36846006,35.7305037
10.67593648,37.44199114
11.68392994,39.27999661
13.28851832,38.52215676
11.11395843,39.1233122
10.16777596,39.98416863
9.971399967,37.79664502
13.32635175,38.55071029
10.76796695,39.68315377
10.443317,38.1922
12.16062933,38.99054311
11.32351478,37.29881495
12.09968256,37.93822914
10.97483135,39.731784
10.84963034,39.7670904
11.343833,39.780333
12.0006256,38.55153522
12.29422088,36.84099815
11.435983,39.87265
10.36530776,37.01755479
8.830373328,39.3630145
10.676467,40.040567
10.75606965,39.5527593
11.03482265,37.50957577
11.220033,39.609467
11.77864652,39.04146358
11.71458418,36.76675897
10.90896709,37.97948677
10.79804363,39.96858316
10.70455,37.05785
12.22368505,38.77996081
12.39490229,38.31811009
11.91314919,38.01904896
10.8533896,38.99886044
10.77321515,36.94152249
10.84089743,39.27844711
12.89757287,37.71076055
11.23098656,40.04956415
9.537983,39.456383
12.59045386,37.38575592
10.954667,36.502783
11.61532041,39.03282829
12.38610773,37.04255436
11.56033064,37.2618183
11.195461,36.75898
12.04723283,36.87954542
12.81206099,37.91304448
10.6215012,39.7905587
10.51830229,39.9238493
10.552067,39.925133
12.73496646,37.91732751
9.462873722,39.39343789
13.04462356,37.6041607
9.898596655,39.30109497
12.45535005,37.1606946
10.59896602,39.91849551
11.45800011,38.9187052
13.35909908,37.95718348
11.91070661,39.3543627
11.06059455,36.74444364
12.96372189,37.72979624
12.67087964,37.38432825
10.18555146,37.59534262
11.70708418,37.15732208
11.12704547,38.93652451
11.89804062,36.79816786
13.09506814,36.96075444
11.20442071,37.37003823
12.86592604,38.29444234
12.334444,37.226389
11.19307551,38.93830911
10.61154231,37.55555092
12.9756,37.756083
12.99465488,37.7502596
11.65222492,38.50596854
11.17992452,36.98030771
11.31495893,36.78519191
11.18944237,36.97495392
12.47861351,38.62359322
12.38938372,38.59218434
11.253533,36.840533
12.75159294,37.09894759
12.91137375,37.74407301
12.1767771,37.80450343
12.19929557,38.91321063
13.08221905,38.19950184
12.72728278,36.20258877
12.74869793,36.24256371
13.34110441,37.66364722
13.27098962,37.35828306
11.27461488,39.78963266
11.81655076,38.9338339
11.81670153,38.93142169
11.16194733,37.38931186
13.138467,37.8893
11.32613014,37.6584289
10.76081965,38.70667453
11.90886616,38.26032631
12.68428394,37.58396502
10.653283,38.156417
11.48387675,38.87319801
10.89052627,38.18531014
10.55424894,38.2858622
10.82253317,38.29482484
10.5945808,37.93727116
12.86867657,38.85261635
10.8237229,38.25972779
11.44448658,38.04606774
10.87309672,38.36918299
12.94862646,38.74339909
12.4027937,37.98680777
11.30231379,38.10852859
12.30829936,37.39197821
